"Project Title","Principal Investigator","Co-Principal Investigators","Related to Project"
"SEI(BIO)+II: A Collaborative Scientific Workflow Environment for Accelerating Genome-Scale Biological Research","Bertram Ludaescher","Peggy Farnham, Shawn Bowers"
"Postdoctoral Research Fellowship in Biological Informatics for FY-2000","Karen Stocks","None"
"IPY: Exchange for Local Observations and Knowledge of the Arctic (ELOKA)","Shari Gearheard","Mark Parsons, Henry Huntington, M Holm, Roger Barry"
"CAREER: Formalizing and Resolving Computational Intensity of Spatial Analysis to Establish a Cyber-GIS Framework","Shaowen Wang","None"
"The Affinity Research Group Model: Developing Students Beyond Academe","Ann Gates","Steven Roach, Elsa Villa"
"The Third Conference on Computational and Mathematical Population Dynamics (CMPD3)","Shigui Ruan","None"
"Toward Cyber-Infrastructure 2025: Addressing Critical Milestones for EarthCube","Siri Jodha","Francoise Pearlman, Jay Pearlman, Mark Parsons, Ruth Duerr"
"IPY-ROAM: International Polar Year Research and Educational Opportunities in Antarctica for Minorities","Craig Tweedie","Vanessa Lougheed, William Robertson, Aaron Velasco"
"DISSERTATION RESEARCH: Variation in tick host preference and its epidemiological impact","Lauren Meyers","Kelly Pierce"
"WSC-Category 1 - Sustainability on the Border: Water, Climate, and Social Change in a Fragile Landscape","William Hargrove","Craig Tweedie, David Borrok, Josiah Heyman, Carlos Ferregut"
"MetPetDB: A Database for Metamorphic Geochemistry","Frank Spear","Sibel Adali, Peter Fox, Boleslaw Szymanski"
"Sustaining the Biodiversity Collections Infrastructure with the Specify Database Management System","Jennifer Leopold","James Beach"
"ELOKA Phase II: Toward Operational Data Management Support for Community-Based Observations Contributing to the Arctic Observing Network","Shari Gearheard","Chris McNeave, Mark Parsons, Henry Huntington, Shari Gearheard, Roger Barry"
"MRI: Acquisition of Equipment to Support Collaborative, Multi-Disciplinary Research and Development of Reliable Software","Steven Roach","Ann Gates, Vladik Kreinovich"
"Sevilleta LTER: Long Term Ecological Research in a Biome Transition Zone","Clifford Dahm","Robert Parmenter, William Pockman, Blair Wolf, Terry Yates, James Gosz"
"Collaborative Research: Linkage of Bacterial Pathogens to Human infectious Disease in an Estuary Subjected to Extreme Climatic Events","James Bowen","Richard Luettich, Gregory Characklis, James Oliver, Hans Paerl"
"ITR/IM+AP(GEO)Collaborative Project-Creation of a Geospatial Data System for the Transition Zone Between the Colorado Plateau and Basin &amp; Range Provinces (Geoinformatics in Action)","George Keller","Ann Gates, Vladik Kreinovich"
"SCI: SEI +II: Towards a Virtual Solar-Terrestrial Observatory","Peter Fox","NoneStanley Solomon, Don Middleton"
"INTEROP--Spatial Ontology Community of Practice: an Interdisciplinary Network to Support Geospatial Data Sharing, Integration, and Interoperability","Nancy Wiegand","Gary Berg-Cross, Mike Dean, James Wilson, Naijun Zhou"
"MRI: Development of a High-Performance Database Appliance for Geospatial Applications","Naphtali Rishe","Raju Rangaswami, Evangelos Christidis, Tao Li"
"CDI-Type II: Mapping Cyberspace to Realspace: Visualizing and Understanding the Spatiotemporal Dynamics of Global Diffusion of Ideas and the Semantic Web","Ming-Hsiang Tsou","Jean Marc, Brian Spitzberg, Dipak Gupta"
"Predicting spatial variation in West Nile virus transmission","A. Marm","NoneL.Philip Lounibos, Peter Daszak, Laura Kramer, Peter Marra"
"INTEROP: A Community-Driven Scientific Observations Network to Achieve Interoperability of Environmental and Ecological Data","Mark Schildhauer","Deborah McGuinness, Phillip Dibner, Corinna Gries, Shawn Bowers"
"Using Images and Optimized Workflow for Automated Data Acquisition of Mexican Plant Specimens at MICH","James Beach","NoneReed Beaman, Stuart Lindsay, James Beach"
"Collaborative Research: NECO: A Market-Driven Approach to Dynamic Spectrum Sharing","Anil Kumar","Achla Marathe, Madhav Marathe"
"BCSP: Collaborative Research: ABI Development: Exploring Taxon Concepts (ETC) through analysing fine-grained semantic markup of descriptive literature","Bertram Ludaescher","None"
"Spatial Heterogeneity, Nonlocal Interactions and Time Delay in Biological and Epidemiological Spread","Shigui Ruan","None"
"Nonlinear Dynamics in Structured Biological and Epidemiological Models","Shigui Ruan","None"
"BPC-AE: Computing Alliance of Hispanic-Serving Institutions","Ann Gates","Enrico Pontelli, Mohsen Beheshti, John Fernandez, Malek Adjouadi"
"Evolution in a community context: protozoa interactions in the leaves of Sarracenia purpurea","Thomas Miller","None"
"CEO:P--COMET: Coast-to-Mountain Environmental Transect","Michael Gertz","S. Geoffrey, Susan Williams, Bertram Ludaescher, Susan Ustin"
"CNH/EID: The Vector Mosquito Aedes aegypti at the Margins: Sensitivity of a Coupled Natural and Human System to Climate Change","Andrew Monaghan","Mary Hayden, Luca Delle, Lars Eisen"
"Spatial Heterogeneity, Nonlocal Interactions and Time Delay in Epidemiological and Biological Spread","Shigui Ruan","None"
"A Workshop for Advancing a Unified Model for Observational Data in the Ecological and Environmental Sciences to be held at Santa Barbara, CA - July 9-13, 2007","Mark Schildhauer","Joshua Madin, Matthew Jones"
"EID: Roles of a marine host cycle and particle aggregation in transmission of zoonotic pathogens in coastal ecosystems","Patricia Conrad","Christine Johnson, Woutrina Miller, John Largier"
"Scientific Software Innovation Institute (S212) Workshop for Biological Collections","Christopher Norris","James Beach, Russell White"
"ICES: Large: Collaborative: The Role of Space, Time and Information in Controlling Epidemics","Rajmohan Rajaraman","Ravi Sundaram"
"Sustaining Coastal Experimentation and Observing Systems in Support of Marine Ecosystem and Climate Science","Thomas Miller","Edward Houde, Johan Schijf, David Secor, Lora Harris"
